Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
Employee Recruiting,Layer 1 Item,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,1600.0
Employee Relations,Layer 1 Item,96,0.0,0.0,0.0,9.63,0.0,0.0,68.22,0.0,0.0,135.07,0.0,212.92,425.84
Contract Services,Layer 1 Item,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contract - Alarm/Monitoring - Intrusion/Fire,Layer 1 Item,100,0.0,240.0,240.0,120.0,302.0,0.0,120.0,120.0,120.0,120.0,0.0,1382.0,2764.0
Contract - Landscape Maintenance,Layer 1 Item,101,0.0,1506.56,2832.34,1385.0,1405.78,1385.0,1385.0,1385.0,1385.0,0.0,1405.78,15460.46,29535.92
Contract - Landscape - Seasonal,Layer 1 Item,102,0.0,921.05,0.0,0.0,0.0,0.0,0.0,0.0,946.83,0.0,0.0,1867.88,3735.76
Contract - Pest Control,Layer 1 Item,103,220.0,392.89,220.0,1063.42,392.89,652.69,186.41,186.41,0.0,1217.17,186.41,5111.18,9829.47
Contract - Trash Removal,Layer 1 Item,104,3950.09,4100.0,2050.0,642.96,2225.62,2095.72,2225.62,2843.56,3005.04,2952.69,2810.18,30958.23,59859.71
Repairs & Maintenance,Layer 1 Item,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R&M - Appliances,Layer 1 Item,108,781.06,362.42,0.0,658.6,0.0,0.0,368.56,0.0,171.57,0.0,0.0,2612.59,4954.8
R&M - Blinds,Layer 1 Item,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.87,0.0,-306.75,-869.62
R&M - Doors,Layer 1 Item,110,0.0,0.0,0.0,0.0,0.0,0.0,12.18,0.0,0.0,-368.2,0.0,-356.02,-712.04
R&M - Electrical,Layer 1 Item,111,217.19,0.0,0.0,457.2,0.0,0.0,155.42,0.0,173.11,0.0,0.0,1038.73,2041.65
R&M - Fire / Safety,Layer 1 Item,112,0.0,0.0,0.0,130.12,0.0,0.0,69.04,-159.16,0.0,0.0,0.0,40.0,80.00000000000003
"R&M - Glass, Mirrors & Screens",Layer 1 Item,113,640.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.68,1281.36
R&M - HVAC,Layer 1 Item,114,0.0,419.06,0.0,742.37,1319.94,72.99,183.69,0.0,802.08,0.0,24.89,5079.64,8644.66
R&M - Keys & Locks,Layer 1 Item,115,41.46,0.0,0.0,337.17,0.0,0.0,258.19,0.0,0.0,64.92,0.0,701.74,1403.48
"R&M - Lights, Fixtures, Light Bulbs",Layer 1 Item,116,12.1,87.26,0.0,861.48,0.0,0.0,130.72,0.0,181.86,0.0,0.0,1356.1,2629.52
R&M - Miscellaneous Repairs,Layer 1 Item,117,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,572.0
R&M - Painting,Layer 1 Item,118,328.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.43,656.86
R&M - Plumbing,Layer 1 Item,119,750.0,22.43,0.0,2893.29,0.0,16.08,399.6,339.89,827.79,0.0,0.0,6168.11,11417.189999999999
R&M - Pools/Spa/Pond/Fountain,Layer 1 Item,120,0.0,253.02,0.0,441.7,753.31,128.47,0.0,0.0,0.0,0.0,0.0,1576.5,3153.0
R&M - Sheetrock,Layer 1 Item,121,0.0,708.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.91,0.0,814.09,1628.1799999999998
R&M - Supplies,Layer 1 Item,122,0.0,-242.14,0.0,97.55,0.0,0.0,17.14,-382.23,140.67,0.0,69.03,-260.9,-560.88
R&M - Tool Replacement,Layer 1 Item,123,0.0,0.0,0.0,0.0,28.15,0.0,0.0,0.0,0.0,0.0,0.0,28.15,56.3
Make Ready,Layer 1 Item,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resurfacing,Layer 1 Item,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,395.0
Carpet Cleaning & Repair,Layer 1 Item,128,0.0,0.0,0.0,0.0,-1489.0,1634.95,97.43,0.0,0.0,0.0,0.0,530.24,773.6200000000001
6615-0000,Layer 1 Item,129,0.0,243.56,0.0,990.0,95.0,663.1,0.0,330.0,0.0,0.0,1035.0,3751.78,7108.4400000000005
6635-0000,Layer 1 Item,130,356.5,467.74,0.0,4652.32,-903.0,903.0,0.0,-1652.0,0.0,3049.23,779.0,9485.36,17138.15
Appliance Supplies,Layer 1 Item,131,120.81,0.0,0.0,-120.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleaning Supplies,Layer 1 Item,132,0.0,0.0,0.0,0.0,0.0,0.0,87.11,159.16,0.0,0.0,0.0,246.27,492.53999999999996
Painting Supplies,Layer 1 Item,133,0.0,0.0,0.0,0.0,-2229.95,2229.95,0.0,0.0,0.0,426.02,-557.49,86.44,-45.03000000000003
6665-0000,Layer 1 Item,134,445.53,0.0,0.0,1195.0,-840.0,980.0,0.0,-1085.0,0.0,362.1,350.0,1602.48,3010.11
6670-0000,Layer 1 Item,135,19.42,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.52,73.04
Marketing,Layer 1 Item,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Internet Ads,Layer 1 Item,139,746.0,746.0,746.0,966.0,790.0,790.0,0.0,-1580.0,0.0,4720.87,790.0,11698.87,20413.739999999998
6735-0000,Layer 1 Item,140,0.0,0.0,0.0,0.0,0.0,457.24,0.0,0.0,0.0,0.0,-457.24,0.0,0.0
6740-0000,Layer 1 Item,141,159.9,319.8,159.9,159.9,159.9,159.9,159.9,159.9,159.9,214.04,159.9,2132.84,4105.780000000001
6750-0000,Layer 1 Item,142,174.18,0.0,0.0,0.0,0.0,0.0,65.44,0.0,0.0,0.0,0.0,239.62,479.24
Promotion & Events,Layer 1 Item,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1,46.55,0.0,200.65,401.29999999999995
Refreshments,Layer 1 Item,144,24.05,361.77,0.0,0.0,0.0,0.0,55.94,73.49,0.0,0.0,9.99,525.24,1050.48
Resident Activities/Tenant Relations,Layer 1 Item,145,0.0,0.0,0.0,22.37,0.0,19.98,19.98,0.0,0.0,199.82,28.96,291.11,582.22
Resident Move In/Renewal Gifts,Layer 1 Item,146,0.0,0.0,0.0,0.0,0.0,301.46,0.0,0.0,0.0,0.0,-301.46,0.0,0.0
Communication,Layer 1 Item,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6805-0000,Layer 1 Item,150,73.0,73.0,76.8,226.8,75.0,75.0,75.0,75.0,-450.0,0.0,0.0,368.81,668.4100000000001
Internet - Office,Layer 1 Item,151,325.0,325.0,-60.2,967.12,295.0,295.0,295.0,0.0,62.05,560.64,295.0,2358.79,5718.4
Utilities,Layer 1 Item,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elec - Common Area,Layer 1 Item,155,1400.0,6736.65,2599.87,1556.99,505.79,112.51,2783.71,1500.0,941.23,1390.26,871.29,20661.77,41060.07
Elec - Vacant Units,Layer 1 Item,156,38.99,128.81,524.15,1434.51,1698.56,131.88,3472.79,1300.85,1304.24,349.21,452.78,9830.59,20667.36
6920-0000,Layer 1 Item,157,2845.0,1797.74,1334.03,2304.98,881.83,0.0,1592.62,936.25,1067.52,1937.4,1405.2,18504.58,34607.15
Water & Sewer,Layer 1 Item,158,3362.63,15089.27,5597.28,13907.66,3273.17,914.18,17022.17,11978.12,5721.81,5285.99,12058.58,100909.2,195120.06
Utility Billing Fee,Layer 1 Item,159,720.0,1808.68,745.0,-1465.0,1879.01,460.0,460.0,766.95,570.0,878.33,878.46,8791.84,16493.27
Taxes,Layer 1 Item,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Property Taxes,Layer 1 Item,163,13191.28,18136.0,18136.0,18136.0,18136.0,18136.0,18136.0,18136.0,18136.0,43873.0,20315.0,240213.78,462681.06
Franchise Tax,Layer 1 Item,164,384.0,386.0,395.0,397.0,1703.0,406.0,407.0,1093.0,413.0,413.0,-413.0,6348.0,11932.0
Insurance,Layer 1 Item,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ins - Property & Casualty Insurance,Layer 1 Item,168,5597.72,5597.72,11573.72,11573.72,11573.72,14657.0,6071.1,2256.64,4718.9,4718.9,16040.0,99976.86,194356.0
Ins - Renter's Insurance,Layer 1 Item,169,268.62,325.0,432.02,480.26,561.66,643.06,732.6,740.74,757.02,805.86,814.0,6748.06,13308.9
